"id","name","type","platform","genres","developer","publisher","release_date","release_precision","release_year","release_month","release_day","main_story_polled","main_story","main_plus_sides_polled","main_plus_sides","completionist_polled","completionist","all_styles_polled","all_styles","single_player_polled","single_player","co_op_polled","co_op","versus_polled","versus"
"24132","Let's Sing","game","PC","Music/Rhythm","Voxler Games","Plug In Digital","2014-02-13","day","2014","2","13","3","3.41","","","2","5.6","5","4.47","3","3.41","","","",""
"24137","Atlantis","game","Atari 2600, Atari 8-bit Family, BBC Micro, Intellivision, Odyssey 2","Action, Shooter, Side","Imagic","Imagic","1982-07-00","day","1982","7","0","7","0.32","","","","","7","0.32","7","0.32","","","",""
"24138","SwordQuest: EarthWorld","game","Atari 2600, PC","Action","Atari","Atari","1982-00-00","day","1982","0","0","2","0.51","","","","","2","0.51","2","0.51","","","",""
"24139","SwordQuest: FireWorld","game","Atari 2600, PC","Action, Adventure","Atari","Atari","1983-02-00","day","1983","2","0","1","1.03","","","","","1","1.03","1","1.03","","","",""
"24142","Keystone Kapers","game","Atari 2600","Platform","Activision","Activision","1983-05-00","day","1983","5","0","8","0.51","","","","","8","0.51","8","0.51","","","",""
"24143","Smurf: Rescue in Gargamel's Castle","game","Atari 2600, ColecoVision","Platform, Scrolling, Side","Coleco","Coleco","1982-00-00","day","1982","0","0","5","0.21","","","1","1.32","6","0.38","5","0.21","","","",""
"24146","Time Gate: Knight's Chase","game","PC","Action, Adventure","Infogrames","Infogrames","1996-00-00","day","1996","0","0","3","3.53","1","4.5","2","8.43","6","5.18","3","3.53","","","",""
"24147","The Terminator: SkyNET","game","PC","First-Person, Shooter","Bethesda Softworks","Bethesda Softworks","1996-00-00","day","1996","0","0","2","7.5","","","","","2","7.5","2","7.5","","","",""
"24148","The Terminator: Future Shock","game","PC","First-Person, Shooter, Vehicular Combat","Bethesda Softworks","Bethesda Softworks","1995-00-00","day","1995","0","0","4","20.12","","","1","23.56","5","20.06","4","20.12","","","",""
"24149","RoboCop","game","Nintendo GameCube, PC, PlayStation 2, Xbox","","Titus Software","Titus Software","2003-07-24","day","2003","7","24","3","4.59","","","1","18.0","4","6.35","3","4.59","","","",""
"24152","Willy Wombat","game","Sega Saturn","Action","West One","Hudson","1997-06-27","day","1997","6","27","2","4.55","","","","","2","4.55","2","4.55","","","",""
"24153","BiT Evolution","game","PC","Action, Adventure","Major Games","Major Games","2015-01-27","day","2015","1","27","8","3.94","4","6.12","2","12.88","14","5.31","8","3.94","","","",""
"24154","Just Get Through","game","PC","Platform","Retrific","Retrific","2015-01-30","day","2015","1","30","1","5.0","1","10.0","","","2","7.5","1","5.0","","","",""
"24160","Scooby-Doo! and the Spooky Swamp","game","Nintendo DS, PC, PlayStation 2, Wii","Action","Torus Games","Warner Bros. Interactive Entertainment","2010-09-14","day","2010","9","14","9","4.71","2","4.94","2","7.34","13","5.11","9","4.71","1","13.0","",""
"24161","Amnesia - Diary Novel","game","PC","Real-Time, Text, Visual Novel","Amnesia","Amnesia","2012-08-26","day","2012","8","26","","","","","2","0.52","2","0.52","","","","","",""
"24166","Borderlands: The Handsome Collection","compil","Nintendo Switch, PC, PlayStation 4, Xbox One","First-Person, Shooter","Gearbox Software, Armature Studio, Iron Galaxy Studios","2K Games","2015-03-24","day","2015","3","24","37","50.68","55","104.76","16","220.51","108","95.68","37","50.68","7","198.68","",""
"24167","Forza Motorsport 6","game","Xbox One","Driving, Racing, Simulation","Turn 10 Studios","Microsoft Studios","2015-09-15","day","2015","9","15","43","25.99","39","68.17","12","203.36","94","54.13","43","25.99","","","2","10.0"
"24168","Duck Dynasty","game","Nintendo 3DS, PC, PlayStation 3, PlayStation 4, Xbox One","","Fun Labs","Activision","2014-10-14","day","2014","10","14","2","4.05","2","6.13","1","8.0","5","5.84","2","4.05","","","",""
"24169","A Sweet Meeting","game","PC","Text, Visual Novel","Ayush Raj","","2014-10-05","day","2014","10","5","","","","","2","0.33","2","0.33","","","","","",""
"24176","Spirit Run: Fire vs. Ice","endless","PC","Platform, Scrolling, Third-Person","Lunagames","Lunagames","2015-02-12","day","2015","2","12","1","0.13","1","2.43","1","4.07","3","2.32","1","0.13","","","",""
"24179","Worms Forts: Under Siege","game","PC, PlayStation 2, Xbox","Strategy","Team17","Sega","2004-11-24","day","2004","11","24","4","10.58","1","15.4","2","26.0","7","12.64","4","10.58","","","",""
"24181","The Typing of the Dead 2","game","PC","On-Rails, Shooter","Sega","Sega","2008-03-06","day","2008","3","6","1","4.0","","","","","1","4.0","1","4.0","","","",""
"24186","Mickey Mouse","game","Game Boy","Platform","Kotobuki System","Kotobuki System","1991-04-26","day","1991","4","26","1","3.0","","","1","4.17","2","3.58","1","3.0","","","",""
"24190","Clash of Puppets","game","PC","Action","Drakkar Dev","Crescent Moon Games","2014-12-16","day","2014","12","16","","","","","1","10.03","1","10.03","","","","","",""
"24191","Ninja Crusaders","game","NES","Action, Platform","NMK","Sammy Studios","1990-12-00","day","1990","12","0","5","1.04","","","2","2.28","7","1.67","5","1.04","","","",""
"24210","Stonehearth","game","PC","Strategy","Radiant Entertainment","","2015-06-03","day","2015","6","3","3","35.69","","","1","69.9","4","50.03","3","35.69","","","",""
"24211","Frontiers","game","PC","First-Person, Role-Playing","AAD Productions","AAD Productions","2014-12-15","day","2014","12","15","1","3.43","1","5.2","1","5.8","3","5.01","1","3.43","","","",""
"24212","RimWorld","game","Linux, Mac, PC, PlayStation 4, Xbox One","City-Building, Real-Time, Simulation, Top-Down","Ludeon Studios","Ludeon Studios","2018-10-17","day","2018","10","17","79","63.51","52","115.91","20","302.66","151","100.92","79","63.51","1","70.0","",""
"24218","Hungry Shark Evolution","game","Mobile, PC","Arcade","Future Games of London","","2012-10-18","day","2012","10","18","","","3","8.33","","","3","8.33","","","","","",""
"24223","Robot Unicorn Attack 2","game","Mobile","","Adult Swim Games","Adult Swim Games","2016-00-00","day","2016","0","0","","","1","14.0","","","1","14.0","","","","","",""
"24225","David.","game","PC","Action, Platform, Shooter, Third-Person","Fermenter","Fermenter","2014-03-14","day","2014","3","14","12","1.64","4","2.47","10","2.54","26","2.15","12","1.64","","","",""
"24226","Zotrix","game","PC, PlayStation 4","Action","ZeroBit Games","Ocean Media","2015-02-18","day","2015","2","18","1","11.0","","","2","23.38","3","20.62","1","11.0","","","",""
"24229","Moto Racer 3","game","PC","Driving, Racing","Delphine Software International","Electronic Arts, Infogrames","2002-01-31","day","2002","1","31","4","4.0","1","5.41","","","5","5.15","4","4.0","","","",""
"24231","iO","game","PC","Platform","Gamious","KISS","2014-12-05","day","2014","12","5","5","3.34","2","5.7","1","7.33","8","4.36","5","3.34","","","",""
"24232","Bliss","game","PC","Platform, Puzzle","Team Bliss","Oruji Productions","2014-12-08","day","2014","12","8","2","2.5","","","1","3.2","3","2.87","2","2.5","","","",""
"24233","LISA: The Painful","game","Linux, Mac, Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S","Adventure, Multidirectional, Role-Playing, Scrolling, Third-Person, Turn-Based","Dingaling","Dingaling Productions","2014-12-15","day","2014","12","15","141","10.85","196","15.16","40","24.69","377","13.96","141","10.85","","","",""
"24234","Frozen Cortex","game","PC","Sports, Strategy, Tactical, Third-Person, Turn-Based","Mode 7","Mode 7","2015-02-19","day","2015","2","19","2","4.3","","","","","2","4.3","2","4.3","","","",""
"24236","Morningstar: Descent to Deadrock","game","PC","Adventure, First-Person, Point-And-Click","Red Herring Labs","Phoenix Online Studios","2015-02-17","day","2015","2","17","15","2.02","4","2.52","38","2.06","57","2.09","15","2.02","","","",""
"24237","Kyatto Ninden Teyandee","game","NES","Platform","","Tecmo","1991-07-19","day","1991","7","19","10","0.9","1","1.54","1","2.2","12","1.54","10","0.9","","","",""
